name,mass,mass err,radius,radius err,omega,omega err,CHZ
K2-102 b,2.24,0.08747065,1.3,0.1,4.45769627,0.000540375,0
Kepler-1298 b,2.27,0.088642132,1.31,0.23,1.391056268,9.49E-06,0
Kepler-444 f,0.332,0.0129644,0.741,0.0405,0.731803247,9.77E-07,0
Kepler-707 b,2.33,0.090985095,1.33,0.095,4.353303938,9.11E-06,0
Kepler-367 c,1.87,0.073022373,1.2,0.16,0.041760912,2.98E-07,0
Kepler-390 c,0.418,0.016322648,0.79,0.08,4.102492094,8.07E-05,0
Kepler-1507 b,0.52,0.020305687,0.84,0.09,0.813677038,7.34E-06,0
Kepler-384 c,1.51,0.05896459,1.13,0.33,0.353941212,6.08E-06,0
Kepler-220 d,0.904,0.035300655,0.98,0.06,1.612532139,9.29E-06,0
Kepler-1028 b,2.33,0.090985095,1.33,0.13,11.18353814,2.20E-05,0
Kepler-1440 b,2.13,0.083175216,1.26,0.185,0.063087227,1.64E-06,0
Kepler-382 b,2.3,0.089813613,1.32,0.63,7.574745328,6.77E-05,0
Kepler-197 e,0.693,0.027061232,0.91,0.04,0.208735204,3.20E-06,0
Kepler-431 c,0.229,0.008942312,0.668,0.026084997,2.896669539,0.113770897,0
Kepler-1436 b,2.27,0.088642132,1.31,0.265,0.896688096,1.51E-05,0
Kepler-1505 b,0.749,0.029247998,0.93,0.05,0.314498426,2.29E-06,0
Kepler-603 d,2.3,0.089813613,1.32,0.19,4.963856405,3.38E-05,0
Kepler-378 b,0.347,0.013550141,0.75,0.15,0.386340401,1.75E-06,0
K2-185 b,2.28,0.089032626,1.313,0.168,1.515766938,0.000245069,0
Kepler-1568 b,2.24,0.08747065,1.3,0.18,0.50735709,6.11E-06,0
Kepler-444 c,0.0793,0.003096617,0.497,0.019,4.603151233,7.14E-06,0
Kepler-1583 b,0.156,0.006091706,0.6,0.07,0.487333647,4.62E-06,0
Kepler-251 b,2.33,0.090985095,1.33,0.24,1.947025289,1.50E-05,0
Kepler-1619 b,0.363,0.014174931,0.76,0.115,0.20281162,4.65E-06,0
Kepler-132 e,1.76,0.068726939,1.18,0.14,0.214192105,1.71E-06,0
Kepler-354 c,2.27,0.088642132,1.31,0.42,6.512597103,8.77E-05,0
Kepler-1605 b,1.28,0.049983228,1.08,0.085,0.197470655,1.42E-06,0
Kepler-144 b,2.33,0.090985095,1.33,0.26,14.57138004,4.95E-05,0
Kepler-286 d,2.33,0.090985095,1.33,0.27,0.995088195,9.09E-06,0
Kepler-1156 b,2.3,0.089813613,1.32,0.115,0.497202271,2.72E-06,0
Kepler-383 b,2.3,0.089813613,1.32,0.52,0.921785084,8.64E-06,0
Kepler-1506 b,2.3,0.089813613,1.32,0.16,0.919590237,1.84E-05,0
KOI-351 i,2.3,0.089813613,1.32,0.21,0.971195159,1.34E-05,0
Kepler-285 b,2.36,0.092156577,1.34,0.58,5.485895833,2.50E-05,0
Kepler-444 b,0.0374,0.001460447,0.403,0.015,0.731608323,1.66E-06,0
Kepler-367 b,2.24,0.08747065,1.3,0.16,0.095201279,7.02E-07,0
Kepler-378 c,0.271,0.010582387,0.7,0.05,2.5,1.5,0
Kepler-1319 b,2.36,0.092156577,1.34,0.4,10.01329604,1.17E-05,0
Kepler-931 b,2.33,0.090985095,1.33,0.115,0.359159134,1.03E-06,0
K2-151 b,2.39,0.093328059,1.35,0.15,2.095519745,1.26E-05,0
Kepler-1587 b,2.33,0.090985095,1.33,0.355,0.407779392,5.97E-06,0
Kepler-1190 b,2.33,0.090985095,1.33,0.08,0.899374259,4.54E-06,0
Kepler-1441 b,2.27,0.088642132,1.31,0.175,0.265159948,3.58E-06,0
K2-233 c,2.34,0.091375589,1.335,0.08,5.585559831,0.000664437,0
Kepler-1224 b,2.33,0.090985095,1.33,0.1,0.529996736,2.90E-06,0
Kepler-444 e,0.1,0.15,0.546,0.016,1.720608001,3.67E-06,0
Kepler-393 c,2.33,0.090985095,1.33,0.31,0.529882208,8.38E-06,0
Kepler-348 c,2.33,0.090985095,1.33,0.25,0.846408954,8.78E-06,0
Kepler-395 c,2.3,0.089813613,1.32,0.09,0.493449305,7.66E-06,0
Kepler-1508 b,2.33,0.090985095,1.33,0.395,1.689841243,4.49E-05,0
Kepler-1532 b,2.39,0.093328059,1.35,0.15,18.93237661,3.74E-05,0
Kepler-191 b,2.36,0.092156577,1.34,0.66,0.110030589,7.31E-07,0
Kepler-1602 b,2.36,0.092156577,1.34,0.405,0.889109133,5.97E-06,0
Kepler-220 e,2.33,0.090985095,1.33,0.12,0.243543583,1.02E-06,0
Kepler-1498 b,2.33,0.090985095,1.33,0.1,0.955283888,1.86E-05,0
Kepler-301 b,2.39,0.093328059,1.35,0.72,19.15502882,9.16E-05,0
